id,bank,category,merchant_name,merchant_locations_or_group,benefit_summary,benefit_type,percentages,promotion_days,day_text,validity,caps_and_minimums,level_rules,source_url
27c1171e0af98bca,Continental,Caza y Pesca,Asociación Paraguaya de Caza y Pesca,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 14 de agosto de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
ed683d928f6181f3,Continental,Clubes,Asunción Tenis Club,,50%; hasta 24 cuotas sin intereses; 50% de descuento,cuotas_sin_intereses,50%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 25 de diciembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
1b1f37fd2036f192,Continental,Clubes,San Bernardino Country Club,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 16 de julio de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
dd1a30d6a2de8e8b,Continental,Construcción,Aceros Gallo,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 26 de marzo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
649c1b73f604d48d,Continental,Construcción,Bautec,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
8188adbc6f4144a1,Continental,Construcción,Casa de las Piscinas,,hasta 12 cuotas sin intereses; 25% de reintegro; 20% de reintegro,cuotas_sin_intereses,25%; 20%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 09 de abril de 2027,Límite de compra mensual de hasta Gs; Límite de compras mensual de Gs; Gs. 5.000.000; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
59674a81086a1d5f,Continental,Construcción,Delia Elisa,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 06 de agosto de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
61e0a7576d1f617f,Continental,Construcción,Electro Paraná,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 11 de febrero de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
789d39600d1812df,Continental,Construcción,Emporio de la Construcción,,hasta 24 cuotas sin intereses; 30% de descuento,cuotas_sin_intereses,30%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 06 de noviembre de 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
48a7d0786d00c176,Continental,Construcción,Fermaco,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 13 de mayo de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
df141313c4c1e9d5,Continental,Construcción,Galvamax,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 19 de marzo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
861584cabbc81e46,Continental,Construcción,H. Petersen,,Hasta 36 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 11 de agosto de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
3ec8d8dd03a6d3b1,Continental,Construcción,Ipale,,20%; hasta 12 cuotas sin intereses; 20% de descuento,cuotas_sin_intereses,20%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 26 de septiembre de 2026,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
0fb0e78c09322155,Continental,Construcción,Konstruir - Kdos Import,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 24 de marzo de 2027,Límite de compras mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
c474c97a1e92dd35,Continental,Construcción,Mercoeste,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
9573f2b9fe6919d3,Continental,Construcción,Ogara Construcciones,,20%; 20% de reintegro,reintegro,20%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 08 de abril de 2027,Límite de compra mensual de hasta Gs; Límite de compra mensual de Gs; Gs. 5.000.000; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
ecf1e20134c20b0b,Continental,Construcción,PY Vidrios,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 24 de julio de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
1e95101dec13a9eb,Continental,Construcción,Pandolfo,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 03 de marzo de 2027,Límite de compras mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
c7c03319271d61cf,Continental,Construcción,Petersen,,20%; Hasta 12 cuotas sin intereses; 20% de reintegro,cuotas_sin_intereses,20%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 29 de enero de 2027,Límite de compra mensual de hasta Gs; Gs. 500.000; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
597d4471164d6ac4,Continental,Construcción,Proyec S.A.E,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 13 de septiembre de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
904f2754f65b9180,Continental,Construcción,Rackpar,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 19 de marzo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
5ae93b65232f4aba,Continental,Construcción,Shopping Glass - Butterfly,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 20 de agosto de 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
5ead6b283ab8df0a,Continental,Construcción,Universo Emprendimientos,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 03 de septiembre de 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
95a62440aa5e167b,Continental,Contimarket,Contimarket - 25%,,25%; 25% de reintegro,reintegro,25%,jueves,No especificado,No especificado,Límite de compra mensual de hasta Gs; Tope de reintegro de Gs; Gs. 1.000.000; Gs. 250.000.,,https://www.bancontinental.com.py/api/comercios?_limit=-1
f781ac3004b9b700,Continental,Contimarket,Contimarket.com,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 31 de diciembre de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
93d73a606679f157,Continental,Deportes,Avant Padel,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 14 de abril de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
678f79a075f7aff4,Continental,Deportes,Bigg,,20%; 20% de reintegro,reintegro,20%,,No especificado,Vigente hasta el 19 de noviembre de 2026,Límite de compra mensual de hasta Gs; Gs. 500.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
f36a0cd3110b1a5b,Continental,Deportes,Complejo Rotela,,20%; 20% de reintegro,reintegro,20%,viernes,los viernes,Vigente hasta el 26 de febrero del 2027,Límite de compra mensual de hasta Gs; Gs. 1.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
c98a9ddc5ebef2fc,Continental,Deportes,Cumana Yoga & Soul Gym,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 03 de octubre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
d76e10714ecf112d,Continental,Deportes,DT Básquet,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 19 de febrero de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
578212e500d95f89,Continental,Deportes,Javi Deportes,,20%; 20% de reintegro,reintegro,20%,jueves,los jueves,Vigente hasta el 18 de marzo de 2027,Límite de compra mensual de hasta Gs; Gs. 1.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
6de4a62d3833c69d,Continental,Deportes,Renova Padel,,20%; Hasta 12 cuotas sin intereses; 25% de reintegro; 20% de reintegro,cuotas_sin_intereses,20%; 25%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 28 de mayo de 2027,Límite de compras de Gs; Límite de compra de hasta Gs; Gs. 2.000.000; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
12dc43789e7ec6c3,Continental,Deportes,Tienda Padel,,20%; hasta 6 cuotas sin intereses; 20% de reintegro,cuotas_sin_intereses,20%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 08 de abril de 2027,Límite de compra mensual de hasta Gs; Gs. 2.000.000; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
f6748e7507bca66e,Continental,Educación,Centros educativos del país,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 06 de agosto de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
cf87e5bc4660e379,Continental,Educación,Infobanc S.A,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 04 de diciembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
c64b8700b06eb392,Continental,Educación,One 2 One,,20%; Hasta 12 cuotas sin intereses; 20% de descuento; 15% de descuento,cuotas_sin_intereses,20%; 15%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 09 de abril de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
5b7bcbdf8ec3640f,Continental,Electrónica,AG - Multiventas,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 29 de agosto de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
3411cca051aac3a0,Continental,Electrónica,America Shop,,Hasta 24 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 11 de junio de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
6b4ca1264186c72f,Continental,Electrónica,Art Electric,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 02 de abril de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
496b7481d2894476,Continental,Electrónica,Avanza,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,"Vigente hasta el 09 de marzo de 2027 Aplica únicamente para compras o pagos presenciales, vía POS físico",Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
140922ea257563d8,Continental,Electrónica,Cecotec,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 05 de mayo de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
47fe168b5812291a,Continental,Electrónica,Celexx,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 24 de agosto de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
f0caf74a5aadb0b0,Continental,Electrónica,Centauri Smart House,,15%; 15% de reintegro,reintegro,15%,jueves,los jueves,Vigente hasta el 15 de octubre del 2026,Límites de compras: - Reintegros con límite de compra mensual de hasta Gs; Gs. 2.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
30fb585a33a32f1e,Continental,Electrónica,Choice,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 11 de julio de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
641c025f9eb7873f,Continental,Electrónica,Compu shop,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 17 de noviembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
aae40f5c9a2a4f47,Continental,Electrónica,Creativa - Informática & Papelería,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 09 de diciembre de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
3729791356bbc7b2,Continental,Electrónica,Creditop,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 15 de junio de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
d9693c1e514d5c26,Continental,Electrónica,Dark Tech,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,"Vigente hasta el 14 de octubre de 2026 (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal",Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
75de31bddc14378e,Continental,Electrónica,Don Negro Comercial,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 30 de abril de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
4ab36f4f04a033f0,Continental,Electrónica,Electrik Cell,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente desde el 20 de agosto de 2026 hasta el 19 de agosto de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
109c3493f3d498ed,Continental,Electrónica,Electro 10,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 27 de febrero de 2027,Límite de compras mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
b7e587636cffbf3a,Continental,Electrónica,Electromax,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 12 de septiembre de 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
7be734a4cb712c07,Continental,Electrónica,Ferbotec,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 22 de abril de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
fca2dfb3faf6a44f,Continental,Electrónica,Mac Store,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 25 de mayo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
221507fd784b91cb,Continental,Electrónica,Madrid Center,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 06 de noviembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
f3d671bb8b497f44,Continental,Electrónica,Mega Electrónicos - Importadora Americas,,Hasta 24 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 25 de agosto del 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
ac8e5c6a772f60e8,Continental,Electrónica,Microlider,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 28 de mayo de 2027,Límite de compra de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
6f17579bd2476690,Continental,Electrónica,Minishopp,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,"Vigente hasta el 10 de abril del 2027 ---------- (*) No participan las tarjetas Pre Pagas, Gourmet Card ni Cabal",Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
5648fcafe049e2b9,Continental,Electrónica,Movil.com,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 07 de noviembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
1043487933885e21,Continental,Electrónica,Mundo Informático,,10%; hasta 12 cuotas sin intereses; 10% de descuento,cuotas_sin_intereses,10%,lunes; martes; miércoles; jueves; viernes; sábado; domingo,todos los días,Vigente hasta el 21 de agosto de 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
1dceb0d27635f7ae,Continental,Electrónica,Naila Center (Hachen Hermanos),,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 16 de marzo de 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
1f5d0a6ffda70917,Continental,Electrónica,New Libano Electronics,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 10 de mayo de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
596130213dd0abbf,Continental,Electrónica,Nissei,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 31 de diciembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
0ffa37abd7be7d93,Continental,Electrónica,Parana Electronicos,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 10 de noviembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
