Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Medios de pago,Detalle,Bases y condiciones,URL detalle,URL categoría
Cafeterías,Itaú,Havanna,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=1571,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,Kafea,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=31808,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,La Lilia Cafe,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30420,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,Medialunas Calentitas,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30435,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,Quattro D,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30010,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,Waffle Roga,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30786,https://www.itau.com.py/beneficios2/categoria/51
Delimarket,Itaú,Delimarket,20 %; 20% de reintegro,todos los sábados,2025-09-06 hasta 2026-09-30,tarjeta de crédito,"Desde el 7 de marzo hasta el 30 de septiembre de 2026. Pagando con tus tarjetas de crédito PREMIUM Itaú. Tenes 20% de reintegro. Aplica todos los sábados. Tope de compra para tarjetas VISA PLATINUM, INTERVENTAJAS PLATINUM, AADVANTAGE PLATINUM, VISA PLATINUM CENTENARIO, LATAM PLATINUM, MC BLACK de Gs. 2.500.000 mensual por cuenta/tarjeta en rubro supermercados. Tope de compra para tarjetas VISA INFINITE y AMEX PLATINUM de Gs. 4.000.000 mensual por cuenta/tarjeta en rubro supermercados. Aplica para consumo familiar.","*Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16584&c=30064,https://www.itau.com.py/beneficios2/categoria/13
Entretenimiento,Itaú,Cines Itaú,2x1; 2 x 1,No especificado,2021-07-23 hasta 2026-12-31,tarjeta de crédito,"Hasta el 31 de diciembre de 2026. Pagando con tus tarjetas de crédito y débito Itaú. Tenés 2x1 en entradas a los principales complejos de cine del país. No aplica a sábados, domingos y miércoles.","Disfrutá de este beneficio en todas las películas de Cines Itaú del Sol, Cines Itaú Mariano, Cines Itaú Cerro Alto, Cines Itaú San Lorenzo, y Cines Itaú Coronel Oviedo.* Para los Cines Itaú Hiperseis y Cines Itaú Pinedo, la promoción es válida para los días lunes, martes, jueves y viernes en todas las películas.* *Las entradas 2x1 son válidas a precio Full (precio adultos). No válido para las salas 4D en Cines Itaú Pinedo y para las películas Sujetas a Restricciones por disposición de los representantes de las películas.",https://www.itau.com.py/beneficios2/Detalle?b=12633&c=1084,https://www.itau.com.py/beneficios2/categoria/42
Gastronomía,Itaú,FRANCESCANA,20 %; Tenes 20% de ahorro,Aplica los jueves,2026-07-08 hasta 2026-08-28,tarjeta de crédito,Del 9 de julio al 28 de agosto 2026. Pagando con tus tarjetas de credito Itau. Tenes 20% de ahorro. Aplica los jueves y viernes.,"Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones",https://www.itau.com.py/beneficios2/Detalle?b=17024&c=32022,https://www.itau.com.py/beneficios2/categoria/7
Gastronomía,Itaú,Juan Valdez,25 % Hasta; Tenes 25% de reintegro + 5% adicional con AMEX PLATINUM y VISA INFINITE,Todos los lunes,2025-12-10 hasta 2026-09-28,tarjeta de crédito,Todos los lunes. Del 3 de agosto al 28 de septiembre de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 25% de reintegro + 5% adicional con AMEX PLATINUM y VISA INFINITE. Tope de compra será de 500.000 Gs para clientes con TC PERSONAL BANK y 300.000 Gs para clientes naranja (otras tarjetas de crédito no Personal Bank).,"*Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16876&c=30008,https://www.itau.com.py/beneficios2/categoria/7
Gastronomía,Itaú,Pizza Hut,6 Cuotas sin intereses; Tenes 6 cuotas sin intereses para los cumpleaños.,No especificado,2025-09-19 hasta 2026-09-30,tarjeta de crédito,Del lunes 29 junio hasta el 30 de septiembre 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 6 cuotas sin intereses para los cumpleaños.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 6 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16615&c=30028,https://www.itau.com.py/beneficios2/categoria/7
Gastronomía,Itaú,TREFFEN,tarjeta de crédito; Tenes 20% de ahorro,LUNES A JUEVES,2026-07-01 hasta 2026-09-03,tarjeta de crédito,Del Lunes 13 de Julio al Jueves 3 de Septiembre 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. LA PROMOCION APLICA DE LUNES A JUEVES.,"Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=17020&c=32014,https://www.itau.com.py/beneficios2/categoria/7
Hogar,Itaú,CENTRO DE MATERIALES,10 Cuotas sin intereses 40 %; Tenes 40% de ahorro con Tarjeta de Crédito y hasta 10 cuotas sin intereses.,No especificado,2026-04-27 hasta 2026-08-31,tarjeta de crédito,Del 18 al 31 agosto 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 40% de ahorro y hasta 10 cuotas sin intereses. Aplica en productos INCEPA.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 10 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16980&c=31948,https://www.itau.com.py/beneficios2/categoria/8
Hogar,Itaú,Corporacion Mercantil,25 % 10 Cuotas sin intereses; 25% de ahorro y hasta 10 cuotas sin intereses.,No especificado,2026-02-02 hasta 2026-09-15,tarjeta de crédito,Del 3 de agosto al 15 septiembre de junio 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 25% de ahorro y hasta 10 cuotas sin intereses.,"*Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 10 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16735&c=1430,https://www.itau.com.py/beneficios2/categoria/8
Hogar,Itaú,Essen,10 Cuotas sin intereses 30 %; Tenes 30% de ahorro en combos promocionales con tarjeta de crédito Itaú y hasta 10 cuotas sin intereses.,No especificado,2026-01-07 hasta 2026-12-31,tarjeta de crédito,Del 30 de junio al 31 de diciembre 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 30% de ahorro en combos promocionales con tarjeta de crédito Itaú y hasta 10 cuotas sin intereses.,"*Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 10 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16711&c=30594,https://www.itau.com.py/beneficios2/categoria/8
