Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Detalle,URL
Farmacias,Sudameris,FARMACIA CATEDRAL,10%; 20%; 25%; Hasta 12 cuotas sin interés,Todos los lunes; Todos los Lunes,• Todos los lunes. • Desde el 1 de julio hasta el 31 de diciembre 2026.,"Todos los Lunes: • Hasta 25% de descuento directo en caja en todos los productos. • 25% de descuento en caja en medicamentos nacionales y preparados magistrales • 20% de descuento en caja en medicamentos importados/ medicamentos nacionales con tratamientos importados. • Hasta 12 cuotas sin interés. Solo el último lunes del mes: • Hasta 25% de descuento directo en caja en todos los productos. • 25% de descuento en caja en medicamentos nacionales y preparados magistrales • 20% de descuento en caja en medicamentos importados/ medicamentos nacionales con tratamientos importados. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/270/detalle
Gastronomía,Sudameris,BIGGIE EXPRESS - PRIMERO DE CADA MES,30%,01 de cada mes,• 01 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,• 30% de reintegro directo en el extracto pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/891/detalle
Gastronomía,Sudameris,CLUB CENTRO SOCIAL ENCARNACIÓN,10%; 20%; Hasta 12 Cuotas sin interés,No especificado,• Hasta el 15 de enero 2027.,"• 10% de reintegro en el extracto exclusivamente vía debito automático en el pago de las cuotas sociales para compras realizadas con Tarjetas de Crédito MasterCard y Visa del banco Sudameris. • 20% de reintegro en el extracto exclusivamente en la cantina del club para compras realizadas con Tarjetas de Crédito MasterCard y Visa del banco Sudameris. • Hasta 12 Cuotas sin interés para pagos de cuotas sociales: Ingreso, atrasadas, adelantadas. En las cajas del club.",https://www.sudameris.com.py/beneficios/destacado/477/detalle
Gastronomía,Sudameris,CLUB CONCEPCIÓN,10%; 20%; Hasta 12 cuotas sin interés,Todos los días,• Todos los días desde el 9 de setiembre al 31 de agosto del 2028 • Todos los días desde el 31 de octubre al 31 de agosto del 2028 del débito automático del club,• 20% de reintegro con tarjetas de crédito en el restaurante del club • Hasta 12 cuotas sin interés. • 10% de reintegro exclusivo para pagos vía débito automático con tarjetas de crédito.,https://www.sudameris.com.py/beneficios/destacado/522/detalle
Gastronomía,Sudameris,CLUB DEPORTIVO PUERTO SAJONIA (CDPS),10%; 20%; Hasta 36 cuotas sin interés; Tope de compra mensual en cada restaurante Gs. 300.000; Tope mensual de compra Gs. 500.000; Gs. 300.000; Gs. 500.000,Todos los días,• Todos los días. • Hasta el 31 de julio de 2028.,"• 20% de reintegro en el extracto de tarjeta de crédito en los restaurantes del Club Deportivo de Puerto Sajonia (CDPS): Atípico, Cristo de las Redes, Arsenio Cantina Bar. Tope de compra mensual en cada restaurante Gs. 300.000 por cuenta de tarjeta. • 10% de reintegro aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa, para pagos vía débito automático de las cuotas sociales del club. Tope mensual de compra Gs. 500.000 por cuenta de tarjeta. • Hasta 36 cuotas sin interés para pago de las membresías (adelantadas o atrasadas), llamando al Call Center para indicar la cantidad de cuotas.",https://www.sudameris.com.py/beneficios/destacado/231/detalle
Gastronomía,Sudameris,CLUB NÁUTICO SAN BERNARDINO,10%; 20%; 12 cuotas sin intereses; Tope de pago mensual: Gs. 500.000; Tope de compra mensual: Gs. 3.000.000; Tope de compra mensual: Gs. 500.000; Gs. 500.000; Gs. 3.000.000,No especificado,• Hasta el 31 de octubre del 2026,• 10% de reintegro directo en débito automático por la cuota social. Tope de pago mensual: Gs. 500.000 por cuenta de tarjeta. • 20% de reintegro directo en restaurante del Club. Tope de compra mensual: Gs. 3.000.000 por cuenta de tarjeta. • 20% de reintegro directo en los locales gastronómicos dentro del Club*. • 10% de reintegro directo en combustibles dentro del Club. Tope de compra mensual: Gs. 500.000 por cuenta de tarjeta. • 12 cuotas sin intereses para los pagos en caja dentro del Club. FAN FEST – CLUB NAUTICO SAN BERNARDINO,https://www.sudameris.com.py/beneficios/destacado/142/detalle
Gastronomía,Sudameris,CLUB SOCIAL ÁREA 1 (CDE),10%; 20%; hasta 12 cuotas sin intereses; Tope de compra mensual: Gs. 440.000; Tope de compra mensual: Gs. 50.000; Tope de compra mensual: Gs. 300.000; Gs. 440.000; Gs. 50.000; Gs. 300.000,Todos los días; todos los días,• Todos los días. • Hasta el 30 de junio de 2028.,"• 10% de reintegro en el extracto y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa, para pagos vía débito automático de las cuotas sociales del club. Tope de compra mensual: Gs. 440.000 por cuenta de tarjeta de crédito. • 20% de reintegro en el extracto todos los días en el gimnasio del Club. Aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa. Tope de compra mensual: Gs. 50.000 por cuenta de tarjeta de crédito. • 20% de reintegro en el extracto todos los días en la cantina y el restaurante del Club. Aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa. Tope de compra mensual: Gs. 300.000 por cuenta de tarjeta de crédito. • Pagos de cuotas atrasadas en hasta 12 cuotas sin intereses.",https://www.sudameris.com.py/beneficios/destacado/297/detalle
Gastronomía,Sudameris,CONCEPTS LA CUADRITA,20%; 25%; Hasta 10 cuotas sin intereses,Miércoles a viernes,• Miércoles a viernes. • Desde el 04 de marzo hasta el 09 de octubre 2026.,• 20% de reintegro directo en extracto pagando con tarjetas de crédito de Sudameris. • 25% de reintegro directo en extracto pagando con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 10 cuotas sin intereses,https://www.sudameris.com.py/beneficios/destacado/443/detalle
Gastronomía,Sudameris,GASTRONOMÍA 26,Disfruta del Reintegro en Gastronomía y Ahorrá con reintegros directos sin canjes de puntos.,No especificado,No especificado,Disfruta del Reintegro en Gastronomía y Ahorrá con reintegros directos sin canjes de puntos.,https://www.sudameris.com.py/beneficios/destacado/636/detalle
Gastronomía,Sudameris,LE BISTRO DE LA ROTONDE – DISTRITO PERSEVERANCIA,20%; 25%,lunes a miércoles,• De lunes a miércoles. • Desde el 06 de julio hasta el 30 de septiembre 2026.,"• 20% de reintegro directo en extracto, con tarjetas de crédito de Sudameris. • 25% de reintegro directo en extracto, con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris.",https://www.sudameris.com.py/beneficios/destacado/897/detalle
Gastronomía,Sudameris,RESTAURANTES FAMILIA PARU - LA CUADRITA,20%; 25%,No especificado,• Desde el 01 de enero hasta el 31 de diciembre de 2026.,"• 20% de descuento en caja con tarjetas de crédito Visa Clásica, Oro, Signature y Platinum, MasterCard Clásica y Plus. • 25% de descuento en caja con tarjetas de crédito MasterCard Black y Visa Infinite. • Promoción cumpleaños: Exclusivamente para clientes Elite. El porcentaje de descuento en caja aplica según la edad que cumpla el cliente titular y solo válido el día de su cumpleaños. El",https://www.sudameris.com.py/beneficios/destacado/308/detalle
Gastronomía,Sudameris,SERENDIPITY - LA HORNALLA - CANTINA COLEGIOS,15%,Lunes a viernes,• Lunes a viernes. • Desde el 20 de abril hasta el 30 de noviembre 2026.,• 15% de reintegro directo en extracto pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/858/detalle
Hogar,Sudameris,LINCOLN,20%; Hasta 12 cuotas sin interés,Todos los días,• Todos los días. • Desde el 01 de agosto hasta el 30 de septiembre 2026.,• 20% de reintegro directo pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/797/detalle
Hogar,Sudameris,MATERASSI,10%; 30%; Hasta 12 cuotas sin interés,Miércoles a sábado,• Miércoles a sábado. • Desde el 19 de agosto hasta el 03 de octubre 2026.,• 30% de descuento directo en caja pagando con tarjetas de crédito de Sudameris. • 10% de reintegro directo pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/476/detalle
Hogar,Sudameris,PARANA HOGAR / COLCHONES,30%; Hasta 12 cuotas sin intereses,Todos los viernes,• Todos los viernes. • Desde el 03 de agosto hasta el 31 de octubre 2026.,• 30% de reintegro directo en extracto pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin intereses.,https://www.sudameris.com.py/beneficios/destacado/903/detalle
Moda,Sudameris,ADOLFO DOMINGUEZ,10%; 50%; Hasta 10 cuotas sin interés,No especificado,• Desde el 17 de agosto hasta el 31 de agosto 2026.,• Hasta 50% de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • + 10% adicional de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/909/detalle
Moda,Sudameris,BABY COTTONS,10%; 50%; Hasta 10 cuotas sin interés,No especificado,• Desde el 17 de agosto hasta el 31 de agosto 2026.,• Hasta 50% de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • +10% adicional de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/908/detalle
Moda,Sudameris,CARO CUORE,10%; 50%; Hasta 10 cuotas sin interés,No especificado,• Desde el 17 de agosto hasta el 31 de agosto 2026.,• Hasta 50% de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • + 10% adicional de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/911/detalle
Moda,Sudameris,ESTANCIAS,10%; 50%; Hasta 10 cuotas sin interés,No especificado,• Desde el 17 de agosto hasta el 31 de agosto 2026.,• Hasta 50% de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • + 10% adicional de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/910/detalle
Moda,Sudameris,RAPSODIA,10%; 50%; Hasta 10 cuotas sin interés,No especificado,• Desde el 17 de agosto hasta el 31 de agosto 2026.,• Hasta 50% de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • + 10% adicional de descuento en caja en productos seleccionados pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/912/detalle
Moda,Sudameris,YOUNIQUE,25%; 30%; Hasta 12 cuotas sin interés,Todos los martes,• Todos los martes y miércoles. • Del 02 de junio al 31 de agosto 2026.,"• 25% de descuento en caja pagando con tarjetas de crédito Clásicas, Oro, Platinum, Signature, Privilege de Sudameris. • 30% de descuento en caja pagando con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/315/detalle
Otros,Sudameris,ZONA CENTRAL - ASUNCIÓN Y GRAN ASUNCIÓN,en tu zona,No especificado,• Verificar según aplicación de promoción (ver cuadro más abajo).,en tu zona,https://www.sudameris.com.py/beneficios/destacado/647/detalle
Otros,Sudameris,ZONA ESTE,"en tu zona • Reintegros directos en el extracto, sin canje de puntos CIUDAD DEL ESTE HERNANDARIAS VILLARRICA CORONEL OVIEDO CAAZAPÁ SANTA RITA NARANJAL J. EULOGIO ESTIGARRIBIA SANT",No especificado,No especificado,"en tu zona • Reintegros directos en el extracto, sin canje de puntos CIUDAD DEL ESTE HERNANDARIAS VILLARRICA CORONEL OVIEDO CAAZAPÁ SANTA RITA NARANJAL J. EULOGIO ESTIGARRIBIA SANTA ROSA DEL MONDAY COLONIA INDEPENDENCIA",https://www.sudameris.com.py/beneficios/destacado/440/detalle
Otros,Sudameris,ZONA SUR,"en tu zona • Reintegros directos en el extracto, sin canje de puntos ENCARNACIÓN HOHENAU PIRAPÓ BELLA VISTA CORONEL BOGADO TRINIDAD MARÍA AUXILIADORA FRAM OBLIGADO CARMEN DEL PARAN",No especificado,No especificado,"en tu zona • Reintegros directos en el extracto, sin canje de puntos ENCARNACIÓN HOHENAU PIRAPÓ BELLA VISTA CORONEL BOGADO TRINIDAD MARÍA AUXILIADORA FRAM OBLIGADO CARMEN DEL PARANÁ CAPITÁN MIRANDA NATALIO KRESSBURGO",https://www.sudameris.com.py/beneficios/destacado/436/detalle
Supermercados,Sudameris,FRIGOMAS,25%,No especificado,• Viernes. • Desde el 07 de agosto al 25 de septiembre 2026.,• 25% de reintegro directo pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/846/detalle
Supermercados,Sudameris,LUISITO,20%,Todos los martes,• Todos los martes. • Desde el 26 de mayo hasta el 30 de noviembre 2026.,• 20% de reintegro directo pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/875/detalle
Supermercados,Sudameris,REAL SUPERMERCADOS,20%; Hasta 12 cuotas sin interés,primer viernes; Solo el primer viernes; todos los días,• Desde el 01 de julio hasta el 30 de septiembre 2026. • Solo el primer viernes de cada mes: • 03 de julio. • 07 de agosto. • 04 de septiembre.,• 20% de reintegro directo pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés válido todos los días en las secciones de: • Electrodomésticos. • Artículos de jardín. • Artículos de decoración.,https://www.sudameris.com.py/beneficios/destacado/483/detalle
Viajes y turismo,Sudameris,12 CUOTAS SIN INTERÉS - 2026,¡Disfrutá tus rubros favoritos en CUOTAS! Tenés hasta 12 cuotas sin interés todos los días hasta el 31 de diciembre de 2026 con todas tus tarjetas de crédito en: Bicicleterías Club,todos los días,No especificado,¡Disfrutá tus rubros favoritos en CUOTAS! Tenés hasta 12 cuotas sin interés todos los días hasta el 31 de diciembre de 2026 con todas tus tarjetas de crédito en: Bicicleterías Clubes Colegios y Universidades Ecommerce Electrónica Hogar Impuestos municipales Joyerías y Relojerías Ópticas Salud y Belleza Talleres Viajes y Hoteles,https://www.sudameris.com.py/beneficios/destacado/147/detalle
Viajes y turismo,Sudameris,DISFRUTÁ DEL RESORT YACHT Y GOLF CLUB,10%; 25%,Todos los días,• Todos los días • Desde el 12 hasta el 31 de diciembre de 2025.,• 25% de descuento en caja pagando con tarjetas de crédito de Sudameris. • 10% de reintegro directo en extracto pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/376/detalle
Viajes y turismo,Sudameris,DTP TRAVEL GROUP,Upgrade de Entradas – Charter F1 São Paulo VIGENCIA •La Promoción tendrá vigencia desde enero de 2026 hasta octubre del 2026.,No especificado,•La Promoción tendrá,Upgrade de Entradas – Charter F1 São Paulo VIGENCIA •La Promoción tendrá vigencia desde enero de 2026 hasta octubre del 2026.,https://www.sudameris.com.py/beneficios/destacado/787/detalle
Viajes y turismo,Sudameris,TATANO POSADA BOUTIQUE,20%; 25%; Hasta 12 cuotas sin intereses,Martes a domingo,• Martes a domingo. • Desde el 07 de abril 2026 hasta el 31 de diciembre 2026.,• 20% de descuento en caja con tarjetas de crédito de Sudameris. • 25% de descuento en caja con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 12 cuotas sin intereses (Aplica exclusivamente para pagos de alojamiento).,https://www.sudameris.com.py/beneficios/destacado/761/detalle
Viajes y turismo,Sudameris,Travel Hub Agosto – DTP Travel Group,Hasta 18 cuotas sin intereses; Gs. 2.000.000; Gs. 12.000.000; Gs. 2.000.000; Gs. 12.000.000; USD 150,No especificado,"• Periodo de compra: Desde el 24 hasta el 28 de agosto del 2026 o hasta agotar cupos disponibles, lo que ocurra primero.","• Reintegro único de Gs. 2.000.000 por compra desde Gs. 12.000.000 en adelante. • Bono único de USD 150 para la compra de paquetes de viaje seleccionados por DTP Travel Group, que incluyan vuelo + alojamiento + traslados. • Hasta 18 cuotas sin intereses.",https://www.sudameris.com.py/beneficios/destacado/913/detalle
