Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Ciudad,Montos / topes,Detalle,Logo URL,Fuente API
Construcción,Continental,Casa de las Piscinas,hasta 12 cuotas sin intereses; 25% de reintegro; 20% de reintegro,todos los días,Vigente hasta el 09 de abril de 2027,No especificado,Límite de compra mensual de hasta Gs; Límite de compras mensual de Gs; Gs. 5.000.000; Gs. 50.000.000,"Los viernes y sábados, en Casa de las Piscinas - 25% de reintegro, pagando con las tarjetas de crédito Privilege Continental exclusivamente a través de POS Dinelco. - 20% de reintegro, pagando con las tarjetas de crédito Continental (Dinelco, Clásicas, Oro, Black e Infinite) exclusivamente a través de POS Dinelco. Límite de compra mensual de hasta Gs. 5.000.000 por cuenta de tarjeta. Además, todos los días: hasta 12 cuotas sin intereses, pagando con las tarejtas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compras mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales Vigente hasta el 09 de abril de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/IMG_1289_e5a1949c47.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Delia Elisa,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 06 de agosto de 2027,Caaguazú,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Delia Elisa S.A. - Hasta 12 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales vía POS físico, con tarjeta física o QR. No aplica para pagos online, a través de links de pago o POS virtuales. Vigente hasta el 06 de agosto de 2027. (*) No participan las tarjetas Prepagas, Gourmet Card y Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/01_ISOLOGO_COLOR_d4ba6f3a3d.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Electro Paraná,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 11 de febrero de 2027,Ciudad del Este,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Electro Paraná. - Hasta 12 cuotas sin intereses, pagando con las tarjetas de crédito Continental. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de TC. Exclusivamente a través del POS Dinelco. Las promociones aplican únicamente para compras o pagos presenciales, vía POS físico. No aplican para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 11 de febrero de 2027. (*) Beneficio exclusivo para compras de consumo personal o familiar, no aplica a compras con fines comerciales. (*) Reintegros y cuotas no son válidos para compras realizadas con tarjetas de débito. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/Electro_Parana_b9661d8003.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Emporio de la Construcción,hasta 24 cuotas sin intereses; 30% de descuento,Todos los días,Vigente hasta el 06 de noviembre de 2026,Asunción,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Emporio de la Construcción. - Hasta 30% de descuento en caja y hasta 24 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras presenciales No aplica para pagos a través de POS Virtual. Vigente hasta el 06 de noviembre de 2026. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_2024_07_02_T172021_625_e5bf39e38a.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Fermaco,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 13 de mayo de 2027,Santa Rita (Alto Paraná),Límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Fermaco. - Hasta 12 cuotas sin intereses, pagando con las tarjetas de crédito Continental, exclusivamente a través del POS Dinelco. Límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 13 de mayo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_36_94bd91e428.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Galvamax,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 19 de marzo de 2027,Ypané,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Galvamax - Hasta 12 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco . Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 19 de marzo de 2027. (*) No participan las tarjetas Cabal, Pre Pagas ni GourmetCard. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago",https://www.bancontinental.com.py/uploads/logo_3205ac1cbf.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,H. Petersen,Hasta 36 cuotas sin intereses,Todos los días,Vigente hasta el 11 de agosto de 2027,Limpio,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en H. Petersen. - Hasta 36 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales vía POS físico, con tarjeta física o QR. No aplica para pagos online, a través de links de pago o POS virtuales. Vigente hasta el 11 de agosto de 2027. (*) No participan las tarjetas Prepagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_2024_08_12_T172646_220_e06f595f59.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Ipale,20%; hasta 12 cuotas sin intereses; 20% de descuento,Todos los días,Vigente hasta el 26 de septiembre de 2026,Asunción,Límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Ipale. - 20% de descuento en caja y hasta 12 cuotas sin intereses. Límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pago o POS virtuales. Vigente hasta el 26 de septiembre de 2026. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago..",https://www.bancontinental.com.py/uploads/LOGO_IPALE_2db1292ad5.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Konstruir - Kdos Import,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 24 de marzo de 2027,Ciudad del Este,Límite de compras mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Konstruir - Kdos Import. - Hasta 12 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compras mensual de hasta Gs. 50.000.000 por cuenta de tarjeta, Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 24 de marzo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/LOGO_KDOS_NEGRO_cfcb24b303.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Mercoeste,Hasta 12 cuotas sin intereses,Todos los días,Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027,No especificado,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Mercoeste. - Hasta 12 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplican para pagos online, a través links de pagos o POS virtuales. Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/PHOTO_2026_05_13_10_30_12_02118ff8fa.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Ogara Construcciones,20%; 20% de reintegro,todos los días,Vigente hasta el 08 de abril de 2027,Encarnación,Límite de compra mensual de hasta Gs; Límite de compra mensual de Gs; Gs. 5.000.000; Gs. 50.000.000,"Todos los jueves, en Ogarã Construcciones. - 20% de reintegro, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compra mensual de hasta Gs. 5.000.000 por cuenta de tarjeta. Además: hasta 12 cuotas intereses, todos los días, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 08 de abril de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/LOGO_OGARA_SRL_0069c02a21.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
